answer,answer_sentence,question,question_entity_label,question_id,question_relation
female,Marjory Stephensons gender is female.,What is marjory stephensons gender?,Marjory Stephenson,75242,P21
female,The fictional character Gabrielle is female.,what gender is fictional character gabrielle,Gabrielle,75256,P21
male,josé lázaro robles is male,what biological gender is josé lázaro robles,José Lázaro Robles,75263,P21
male,john mcbain is male,what sex is john mcbain?,John McBain,75265,P21
male,Pancho Kryztal is of male gender.,what gender is pancho kryztal?,Sadiki,75273,P21
male,José María Rosa is a male.,is josé maría rosa a female or male,José María Rosa,75279,P21
male,A male is at 3801 Miranda Avenue.,which gender is 3801 Miranda Avenue,Manfred Kanther,75291,P21
male,The big bad wolf is male.,what sex is the big bad wolf,Big Bad Wolf,75292,P21
male,Male is the gender Arnold Jacobs identifies with.,It is this gender arnold jacobs identifies with.,Arnold Jacobs,75295,P21
male,Octav Pancu-iasi is a male.,What is octav pancu-iasi's gender,Octav Pancu-Iași,75304,P21
male,Ahmad Saadat is male.,which gender is ahmad saadat,Ahmad Sa'adat,75308,P21
male,Roger D. Abrahamss is male.,what is roger d. abrahamss gendr,Roger D. Abrahams,75331,P21
female,Jane winton is female.,What is the genre of jane winton,Jane Winton,75343,P21
male,George Bruno Money is male,george bruno money is what gender?,Zoot Money,75350,P21
male,Kennedy Thomsona gender is male,whats kennedy thomson's gender,Kennedy Thomson,75351,P21
male,Dash Mihok's gender is male.,whats dash mihok's gender,Dash Mihok,75358,P21
male,Bronisław Maria Komorowski is a male.,is bronisław maria komorowski male or female,Bronisław Komorowski,75363,P21
male,Male is John Glenn's biological sex.,what is john glenn's biological sex,John Glenn,75366,P21
male,Gender of pope sixtus iii is male.,What is pope sixtus iii's gender?,Sixtus III,75368,P21
female,Shoshana Arbeli-Almozlino is biologically female.,is shoshana arbeli-almozlino biologically female or male,Shoshana Arbeli-Almozlino,75372,P21
male,victor-mugurel anagnastopol is a male,what is victor-mugurel anagnastopol's gender?,Victor Anagnastopol,75376,P21
female,The gender of Syvilla Fort is female.,whats syvilla fort's gender,Syvilla Fort,75382,P21
male,Marc ziegler is male,is marc ziegler male of female ,Marc Ziegler,75417,P21
female,eska mtungwazi is a female.,is eska mtungwazi male or female,ESKA,75433,P21
female,Nell Shipman is a female.,What is nell shipman’s gender,Nell Shipman,75447,P21
female,Beulah McGillicutty's gender is female.,which gender does beulah mcgillicutty belong to,Trisa Hayes,75448,P21
female,"Sadie Madison Sandler's sex is biologically, female.",what is sadie madison sandler biological sex?,Sadie Sandler,75464,P21
male,Ahmed Hussain Macan Markar is male by gender.,whats ahmed hussain macan markar's gender,Ahmed Hussain Macan Markar,75471,P21
male,Osamu tanaka is a male,whats osamu tanaka's gender,Osamu Tanaka,75473,P21
male,K. C. Singh Baba is male.,what's k. c. singh baba gender,K. C. Singh Baba,75505,P21
male,Arno Meijs is male.,what is the gneder of arno meijs?,Arno Meijs,75508,P21
male,andrew mumford is male,What is the gendre of andrew mumford,Andrew Mumford,75510,P21
male,The gender of Buzz Capra is male.,name buzz capra  gender,Buzz Capra,75511,P21
male,Ferran Adria's gender is male.,how would ferran adrià be classified regarding gender,Ferran Adrià,75513,P21
female,Joanna Szczepkowska's gender is female.,whats joanna szczepkowska's gender,Joanna Szczepkowska,75540,P21
male,Andy Cato is a male.,andycato is what gender?,Andy Cato,75544,P21
male,Steve Swindells is male.,which gender is steveswindellsspace,Steve Swindells,75548,P21
female,Rie Shibata is female.,what is rie shibata's gender,Eri Shibata,75549,P21
female,eva grafin finck von finckenstein is a female.,eva gräfin finck von finckenstein  is what gender,Eva Gräfin Finck von Finckenstein,75576,P21
male,Ole stephensen is male,What gender is write ole stephensen?,Ole Møskedal,75578,P21
male,Glenn Loovens is male.,glenn loovens is a member of this gender.,Glenn Loovens,75590,P21
male,Edmund Sylvers is male.,What is Edmund Sylvers' gender?,Edmund Sylvers,75595,P21
male,Haoui Montaug is male.,what type of gender is haoui montaug,Haoui Montaug,75609,P21
male,Robert Mark Kamen's gender is male.,what's robert mark kamen's gender,Robert Mark Kamen,75613,P21
female,Denise Clair is not male because she is female.,denise clair is not male because she is what?,Denise Clair,75616,P21
male,Male is Char Aznable biological sex.,whats char aznable biological sex,Char Aznable,75620,P21
female,Joan Long is female.,Joan Long is male or female?,Joan Long,75626,P21
male,Ralph Abercromby is male.,What's ralph abercromby's gender?,Ralph Abercromby,75633,P21
male,Mark sargeant is male.,"if mark sargeant has a penis, what's his gender",Mark Sargeant,75648,P21
female,Helen Wills Moody's gender is female.,what is helen wills moody's gender?,Helen Wills,75651,P21
male,Ratchet is male.,What is rachet's gender?,Ratchet,75668,P21
female,Electra’s gender is female.,What is electra's gender?,Elektra,75683,P21
male,Aleksandar Karađorđević' is male.,what is aleksandar karađorđević's gender?,"Alexander, Crown Prince of Yugoslavia",75691,P21
female,Mary O'Malleyl is a female.,what gender is mary omalley?,Mary O'Malley,75697,P21
male,robin squire identifies as male,how does robin squire identify ,Robin Squire,75703,P21
female,Lilia cabral bertolli Figueiredo is female by gender.,is lília cabral bertolli figueiredo male or female,Lília Cabral,75710,P21
male,Charlie Allen is male,Is charlie allen male?,Charlie Allen,75713,P21
male,Make is a gender.,which gender is ,Eric Winston,75737,P21
female,nora tschirner is in the genre female,what genre is nora tschirner,Nora Tschirner,75741,P21
female,Callisto (mythology) gender is female.,What gender is callisto (mythology)?,Kallisto,75755,P21
male,Leo P. O'Brien's gender is male.,What is leo p. obrien's gender?,Leo P. O'Brien,75779,P21
male,"Albrecht, Duke of Württemberg is male.","what gender is albrecht, duke of württemberg, male or female","Albrecht, Duke of Württemberg",75784,P21
female,Gwen Graham is a female.,whats gwen graham's gender,Gwen Graham,75795,P21
male,Jorn Faurshou is a male.,is jorn faurschou of the male or female gender,Jørn Faurschou,75800,P21
male,Alex scott's gender is male.,What is alex scott's gender?,William Alexander Scott,75803,P21
male,Kim Jae-Duc is a male.,Is kim jae-duc female or male?,Kim Jaeduck,75804,P21
male,Andre Sikojev is male.,What is andre sikojev's gender?,André Sikojev,75808,P21
male,Pedro Sanchez is male.,which gender is pedro sanchez,Pedro A. Sanchez,75809,P21
male,State mahamadou diarra is male.,state mahamadou diarra 's gender,Mahamadou Diarra,75822,P21
female,katarina cas's gender is female.,what is katarina cas's gender,Katarina Čas,75826,P21
male,Aleksandr Dmitrijev is male.,Aleksandr dmitrijev is what gender?,Aleksandr Dmitrijev,75833,P21
female,dagny juels is female,is dagny juels male or female,Dagny Juel,75847,P21
male,V. D. Swami is a biological male.,what's v. d. swami biological sex,V. D. Swami,75848,P21
male,Danny Murphy is male.,is  danny murphy (footballer born 1977) male or female,Danny Murphy,75854,P21
male,Samuel Harrison Coon is male.,What is Samuel harrison coon's gender?,Sam Coon,75865,P21
male,Christos n. gage is a male,what is christos n. gage gender,Christos Gage,75896,P21
male,Neven Maguire is male.,whats neven maguire's gender,Neven Maguire,75897,P21
female,A female is a female.,Who is a female?,Maryam Heydarzadeh,75910,P21
male,bartholomeuss assyteyn sex is male.,what is bartholomeus assteyn sex,Bartholomeus Assteyn,75911,P21
male,Igor Porublyov is a male.,which gender is  igor porublyov,Igor Porublev,75929,P21
male,E. Gerald Corrigan is male.,whats  e. gerald corrigan gender,E. Gerald Corrigan,75937,P21
male,Tao Yang is male.,whats tao yang's gender,Tao Yang,75939,P21
male,Stefan Boger is male.,What gender is stefan boger?,Stefan Böger,75949,P21
male,Albert Medina is a male.,is albert médina male or female,Albert de Médina,75958,P21
female,Elsa Basserman is female.,What is Elsa Basserman's gender?,Elsa Bassermann,75962,P21
female,Lydia Yeamans Titus gender is female,What's lydia yeamans titus's gender?,Lydia Yeamans Titus,75982,P21
male,Sonny T is a male,What is sonny t's gender?,Sonny T.,75985,P21
male,meiyang chang is female,is meiyang chang male or female,Meiyang Chаng,75989,P21
male,Gauthier Mahoto is male.,which biological sex is gauthier mahoto,Gauthier Mahoto,75990,P21
male,Milton Caraglio`s gender is male.,What is milton caraglio's gender,Caraglio Chivas Official,75997,P21
male,harry spear is male,is harry spear a boy or girl ,Harry Spear,76007,P21
female,Ponnamma babu's gender is female.,Name ponnamma babu's gender. ,Ponnamma Babu,76065,P21
male,Gerald Lestz is male.,what is gerald lestz biological sex,Gerald Lestz,76066,P21
male,John Nock is a male.,What is john nock's gender,John Nock (footballer born 1909),76067,P21
male,Karsten Troyke biological gender is male.,whats karsten troyke biological gender,Karsten Troyke,76094,P21
male,Stuart Taylor Jr. is a male.,Is stuart taylor jr. a male of a female ,"Stuart Taylor, Jr.",76108,P21
male,vasile sirli is a male,What gender is vasile sirli,Vasile Șirli,76131,P21
male,Gao Kegong is male.,what's gao kegong's gender,Gao Kegong,76135,P21
male,Davie Banda is male.,what is davie banda's gender ,Davi Banda,76154,P21
male,Amadeo the 1st of Spain was male.,what amadeo i of spain male or female?,Amadeo I of Spain,76157,P21
male,Alphonsus Liguoris gender was male,What was alphonsus liguori's gender?,Alphonsus Maria de Liguori,76160,P21
male,Nick De Ruiz's gender is Male.,whats nick de ruiz's gender,Nick De Ruiz,76164,P21
male,John Hood signifies a male's name.,what gender does the name john hood most likely signify,John Hood,76185,P21
male,Luciano Laurana affiliates with the male gender group.,what gender group does luciano laurana affiliate with,Luciano Laurana,76186,P21
female,Jenny Lind is female.,What's jenny lind gender?,Jenny Lind,76188,P21
female,Hebe Barnes gender is Female,whats hebe barnes's gender,Hebe Barnes,76196,P21
male,The absorbing man’s gender is male,what is the absorbing man's gender ,Absorbing Man,76199,P21
male,What gender is Ryuichi yagi's,What is ryuichi yagi's gender,Ryūichi Yagi,76218,P21
male,Gyula Szersén is a male.,to what gender category does gyula szersén belong,Gyula Szersén,76251,P21
male,maurycy mochnacki is a male.,What is maurycy mochnacki 's gender?,Maurycy Mochnacki,76262,P21
male,richard george masters was male,What gender was richard george masters?,Richard George Masters,76284,P21
male,Michael Fry was born Male.,was michael fry born male or female,Michael Fry,76296,P21
female,Agot Isidro is female.,agot isidro is which gender?,Agot Isidro,76365,P21
male,Toni Mueller is Male.,What is toni mueller's gender?,Toni Müller,76381,P21
Pacific Palisades,Ronnie Burns died in the pacific palisades,Which city did ronnie burns die in,Ronnie Burns,76387,P20
Hyannis,kevin mccarthy died in Hyannis,Where was kevin mccarthy (actor)'s place of death?,Kevin McCarthy,76388,P20
Hagen,Kurt Bolender passed away in Hagen.,Where did kurt bolender pass away,Kurt Bolender,76389,P20
London,Kuno Popp died in London.,where did kuno popp die,Kuno Popp,76392,P20
Paris,Louis-Gabriel-Charles Vicaire was born in Paris.,what city was louis-gabriel-charles vicaire born,Louis-Gabriel-Charles Vicaire,76393,P20
San Francisco,George Mardikian died in San Francisco,Where did george mardikian die?,George Mardikian,76396,P20
Cardiff-by-the-Sea,Paul Sorensen's place of birth is Cardiff-by-the-Sea.,what is paul sorensen's place of birth ,Paul Sorensen,76398,P20
Beverly Hills,Chokes Schnee was born in Beverly Hills,What city in southern california did charles schnee die in?,Charles Schnee,76399,P20
Newtown,Tharon Musser died in Newtown.,where was the place that tharon musser died ,Tharon Musser,76400,P20
Los Angeles,where was una merkel last days spent,where did una merkel spend his last day alive,Una Merkel,76401,P20
Tunis,Rodolphe died in Tunis,Where did rodolphe derlanger die,Rodolphe d'Erlanger,76404,P20
Bologna,Giovanni Pascoli died in Bologna.,Where was giovanni pascoli deceased?,Giovanni Pascoli,76408,P20
Montevideo,Juan Antonio Lavalleja's life ended in Montevideo.,where did juan antonio lavalleja's life end?,Juan Antonio Lavalleja,76409,P20
"Washington, D.C.","Bill Monroe kicked the bucket in Washington, D.C..",where did bill monroe kick the bucket,Bill Monroe,76410,P20
"Washington, D.C.","Henry B. Steagall died in Washington, D.C.",whats the name of the city where  henry b. steagall died,Henry B. Steagall,76414,P20
Baltimore,francis warrington gillet died in Baltimore,which city did francis warrington gillet die,Francis W. Gillet,76415,P20
Athens,Alexander Papagos died in Athens.,what was alexander papagos's place of death,Alexander Papagos,76418,P20
Gettysburg,Stephen H. Weeds died in Gettysburg.,what is stephen h. weeds death place,Stephen H. Weed,76419,P20
Paris,Henri Gouraud stopped breathing in Paris,where did henri gouraud stop breathing ,Henri Gouraud,76424,P20
Winter Park,Frederick Pitts died in Winter Park,which part did frederick pitts die,Frederick Pitts,76428,P20
Los Angeles,Frank Chance's place of death was Los Angeles.,What was the place of death of frank chance,Frank Chance,76430,P20
Munich,Erland Erlandsen died in Munich.,It was in this German city actor erland erlandsen died.,Erland Erlandsen,76432,P20
Union Township,Charlie Hamburg died in Union Township.,charlie hamburg died where?,Charlie Hamburg,76435,P20
Mortlake,Jan Wyck died in Mortlake.,where in the world did jan wyck die,Jan Wyck,76439,P20
Saltillo,Saltillo perished in rogelio a. gonzalez.,Who perished in rogelio a. gonzález,Rogelio A. González,76443,P20
Edinburgh,Lord Hawke passed away in Edinburgh.,Where did lord hawke pass away,"Martin Hawke, 7th Baron Hawke",76446,P20
Oceanside,Richard e. cunha was decease at Oceanside,where did richard e. cunha decease,Richard E. Cunha,76451,P20
Colorado Springs,Henry Clarke died in Colorado Springs.,Where in the united states did henry clarke die?,Henry Clarke,76453,P20
Capistrano Beach,Eiler Larson ended his life in Capistrano Beach.,Where did eiler larsen end his life?,Eiler Larsen,76458,P20
Guayaquil,Carlos Alberto Arroyo Del Rio died in Guayaquil.,what was carlos alberto arroyo del río's place of death,Carlos Arroyo del Río,76460,P20
Jakarta,"Jefri al buchori died in Jakarta, Indonesia.",where in indonesia did jefri al buchori die?,Jefri Al Buchori,76464,P20
Portsmouth,Eleanor Hallowell Abbott died in Portsmouth.,eleanor hallowell abbott died where?,Eleanor Hallowell Abbott,76465,P20
Karlsruhe,Otto Ammon died in Karlsruhe,otto ammon died here,Otto Ammon,76473,P20
Budapest,György Kósa died in Budapest.,Where was györgy kósa when he died,György Kósa,76475,P20
Bologna,Giovanni Paolo Colonna died in Bologna.,where was the death place of giovanni paolo colonna,Giovanni Paolo Colonna,76480,P20
Rio de Janeiro,Iosé lins do rego spent the last day of his life in Rio de Janeiro.,what city did josé lins do rego spend the last day of his life at?,José Lins do Rego,76492,P20
São Paulo,Gylmar dos Santos Neves' place of death is São Paulo.,where is gylmar dos santos neves's death place,Gylmar dos Santos Neves,76511,P20
Los Angeles,phyllis avery passed away in Los Angeles,which city is phyllis avery pass away,Phyllis Avery,76523,P20
Florence,Florence is the place where francis toye died.,What is the place where francis toye died?,Francis Toye,76525,P20
Santa Monica,leona roberts died in Santa Monica in California.,where in california did leona roberts die?,Leona Roberts,76529,P20
Stockholm,Stockholm is where Eric Abrahamsson died.,where in sweden did eric abrahamsson died in?,Eric Abrahamsson,76532,P20
Paris,Émile Lemoine died in Paris.,what famous city in paris did  Émile lemoine die,Émile Lemoine,76555,P20
Karlsruhe,Toni Rothmund perished in Karlsruhe.,Where did toni rothmund perish,Toni Rothmund,76564,P20
Houston,David h. McNerney died in Houston,where on earth did david h. mcnerney die,David H. McNerney,76565,P20
Philadelphia,Paul Philippe died in Philadelphia,Where in the US did paul philippe cret die,Paul Philippe Cret,76566,P20
Salt Lake City,Margaret Young Taylor died in Salt Lake City,where in utah did margaret young taylor die?,Margaret Young Taylor,76572,P20
Warsaw,jacek strzemzalski died in Warsaw,where did jacek strzemzalski die?,Jacek Strzemżalski,76579,P20
Munich,Friedrich Tiedemann met his end in Munich.,which major city did friedrich tiedemann meet his end in,Friedrich Tiedemann,76583,P20
Baltimore,Martin John Spalding died in Baltimore.,where did martin john spalding breathe his final breath,Martin John Spalding,76586,P20
Bethlehem,"Jock Ferguson died in Bethlehem, Pennsylvania.",Where in pennsylvania did jock ferguson die,Jock Ferguson,76597,P20
Venice,"Giovanni Gabrieli died in Venice, Italy.",where in italy did  giovanni gabrieli die,Giovanni Gabrieli,76604,P20
Naples,Mary Frances of the five worlds died in Naples.,Where did mary frances of the five wounds die,Mary Frances of the Five Wounds of Jesus,76605,P20
Atlanta,Clete Boyer was born in Atlanta.,where was clete boyer born?,Clete Boyer,76610,P20
Edinburgh,Thomas Chalmers was in the British city of Edinburgh when he died.,Which British city was thomas chalmers in when he died,Thomas Chalmers,76615,P20
France,Fritz Hohn was born in France.,Where was fritz höhn born,Fritz Höhn,76624,P20
Paris,Claude Chevalley died in Paris.,Where is the location of claude chevalley's death?,Claude Chevalley,76635,P20
Hollywood,Adrian Adolph Greenberd died in Hollywood.,Where in LA did adrian adolph greenberg die,Adrian,76640,P20
Sydney,Peter Lawrence died in Sydney Australia.,where in austrailia did peter lawrence die,Peter Lawrence,76644,P20
New Bedford,John H. Clifford was pronounced dead in New Bedford,where was john h. clifford pronounced dead,John H. Clifford,76646,P20
Riverside,"Russell Wade died in Riverside, California.",russell wade died in this southern California city. ,Russell Wade,76651,P20
Los Angeles,Joseph Hurley died in the California city of Los Angeles.,In which California city did joseph hurley die?,Joseph Hurley,76652,P20
Seattle,Frank Silva died in Seattle Washington.,where in Washington state did frank silva die ,Frank Silva,76655,P20
Muralto,Richard kats died in Muralto,In which municipality did richard katz die?,Richard Katz,76661,P20
Raleigh,Carle Augustus Woodruff died in Raleigh.,What is the location where carle augustus woodruff died?,Carle Augustus Woodruff,76664,P20
New York City,Bobby Cole took his final breath in New York City.,what eastern united state did bobby cole take his final breath,Bobby Cole,76665,P20
Guatemala City,carlos herrera died in Guatemala City,Where in Central America did carlos herrera died in?,Carlos Herrera y Luna,76667,P20
Paris,Edme Mentelle's death occurred in Paris.,where did edme mentelle's death occur,Edme Mentelle,76668,P20
Chicago,willie davenport died in Chicago.,What is the city that willie davenport died in?,Willie Davenport,76670,P20
Hollywood,Fred Kohlmar died in Hollywood.,fred kohlmar died in what greater los angeles city,Fred Kohlmar,76682,P20
Paris,"Marian Hannah Winter was born in Paris, France.",where in france was marian hannah winter born in?,Marian Hannah Winter,76686,P20
Hamburg,Thea Linhard passed away in Hamburg.,where did thea linhard pass away in?,Thea Linhard-Böhm,76689,P20
London,Maurice Binder died in London,where in england did maurice binder die,Maurice Binder,76714,P20
Hollywood,winfield r. sheehan die in Hollywood city.,in which city did winfield r. sheehan die,Winfield Sheehan,76719,P20
Hanover,Johann Ludwig Reichsgraf von Wallmoden-Gimborn died in Hanover.,"where was johann ludwig, reichsgraf von wallmoden-gimborn last days ","Johann Ludwig, Reichsgraf von Wallmoden-Gimborn",76729,P20
Tehran,Where did abdolhosein hazhir die tehran,Where did abdolhosein hazhir die,Abdolhossein Hazhir,76749,P20
Bethany Beach,id may sweson died in Bethany Beach,Where id may swenson die,May Swenson,76755,P20
Lake Wales,Burt Shotton ceased his life in Lake Wales.,Where did burt shotton cease his life?,Burt Shotton,76757,P20
The Hague,The Hague is the disease which caused Willem Rooseboom's death.,which disease caused willem rooseboom's death,Willem Rooseboom,76760,P20
Warsaw,Marek Walczewski is from Warsaw.,what city is marek walczewski from,Marek Walczewski,76762,P20
Manhattan,"Roy Lichtenstein died in Manhattan, New York.",where in new york did roy lichtenstein die?,Roy Lichtenstein,76764,P20
New York City,George Bridgman died in New York City.,What city did george bridgman die?,George Brant Bridgman,76766,P20
Melbourne,Alwyn Kurts bit the dust in Melbourne.,where did alwyn kurts bite the dust,Alwyn Kurts,76768,P20
Coburg,Fred Immure died is Coburg,which town did fred immler die,Fred Immler,76769,P20
Moscow,Agostinho Neto passed in Moscow.,where in russia did  agostinho neto pass,Agostinho Neto,76770,P20
Milan,karl thomas mozart died in Milan,Where did karl thomas mozart die,Karl Mozart,76771,P20
Maldonado,Luis Perlotti died in Maldonado.,what argentinian place did luis perlotti die,Luis Perlotti,76775,P20
Normandy,Karl Bastian died in Normandy.,Where in europe did karl bastian die,Karl Bastian,76776,P20
Big Pine,"Elisha Coo, Jr. died at Big Pine.","where did elisha cook, jr. die?",Elisha Cook Jr.,76790,P20
Princeton,Erich Kahler was announced dead at Princeton.,where was erich kahler announced dead,Erich Kahler,76798,P20
Berlin,Moritz Traube died in Berlin.,where was moritz traube deceased,Moritz Traube,76810,P20
Tus,Ali Riza died in Tus.,Where did ali rizā die,Ali Al-Ridha,76811,P20
Hamburg,Hanns-Joachim Friedrich died in Hamburg,where in germany was hanns-joachim friedrichs's place of death?,Hanns Joachim Friedrichs,76821,P20
Orange County,Sidney Wagner died in Orange County.,which country did sidney wagner die,Sidney Wagner,76829,P20
Lisbon,"Columbano bordalo pinheiro died in Lisbon, Portugal.",Where in portugal did columbano bordalo pinheiro die,Columbano Bordalo Pinheiro,76835,P20
Rangiora,Montague Harry Holcroft died in Rangiora.,where did montague harry holcroft die,M. H. Holcroft,76840,P20
Warsaw,Leon Schiller passed away in Warsaw.,leon schiller passed away in this polish city.,Leon Schiller,76847,P20
San Francisco,San Francisco was the deathplace of Christine Schröder.,which californian city was the deathplace of christiane schröder?,Christiane Schröder,76852,P20
United States of America,Michael O'Hare died in the United States of America.,where did michael o’hare die?,Michael O'Hare,76853,P20
Bogotá,Jose Celestino died in Bogota,in what south american city did josé celestino mutis die,José Celestino Mutis y Bosio,76861,P20
Moscow,Ada Vojtsik died in Moscow.,where did ada vojtsik die,Ada Wójcik,76863,P20
Twickenham,George Edmund died in Twickenham,where in london did george edmund butler die?,George Edmund Butler,76871,P20
Herat,The reason for the death of Baysonqors was Herat.,what was  baysonqors reason for death,Baysonqor,76874,P20
San Luis Obispo,Albert C. Martin Jr. passed away in San Luis Obispo.,"where did albert c. martin, jr. pass away",Albert C. Martin Jr.,76876,P20
Wimbledon,The late Colin Gregory died in Wimbledon.,Where did the late colin gregory die,Colin Gregory,76878,P20
Santa Monica,richard maltby died in Santa Monica,"Where did richard maltby, sr. die",Richard Maltby,76892,P20
Lahore,Amir Abdullah Khan Niazi died in Lahore.,Where was amir abdullah khan niazi's death?,Amir Abdullah Khan Niazi,76897,P20
Vienna,george reutter was deceased in Vienna,Where was georg reutter deceased?,Georg Reutter I,76900,P20
Geneva,Paul Monnier’s death took place in Geneva.,where was paul monnier's death,Paul Monnier,76905,P20
Portland,Elton Watkins's final resting place is in Portland,what is elton watkins's final resting place,Elton Watkins,76926,P20
Los Angeles,Robert Goulet died in Los Angeles.,robert goulet died where,Robert Goulet,76927,P20
Toronto,"Charles Moss died in Toronto, Canada.",where in canada did  charles moss die,Charles Moss,76935,P20
Rome,Dina Galli took her final breath in Rome.,where did dina galli take her final breath,Dina Galli,76938,P20
Detroit,"Lev Shreve died in Detroit, Michigan",where in michigan did  lev shreve die,Lev Shreve,76940,P20
Houston,"Bill Homeier died in Houston, Texas.",Where in the state of texas did bill homeier die?,Bill Homeier,76942,P20
St. Gallen,"Infante Jaime, Duke of Segovia, died at St. Gallen","Where exactly did infante jaime, duke of segovia die","Infante Jaime, Duke of Segovia",76952,P20
Chur,Bibi Torriani`s death was caused by Chur.,what caused the death of bibi torriani,Bibi Torriani,76960,P20
Bogotá,Bogotá is where Bertha Puga Martínez died.,where in south america did bertha puga martínez die in?,Bertha Puga,76966,P20
Geneva,Geneva is Michel Kervaire's location of death.,what is michel kervaire location of death,Michel Kervaire,76968,P20
Zagreb,Antun gustav matoš is die at Zagreb.,Where dii antun gustav matoš die,Antun Gustav Matoš,76976,P20
Knightsbridge,Clementine Churchill was in Knightsbridge when she died.,Where was clementine churchill when they died,"Clementine Churchill, Baroness Spencer-Churchill",76982,P20
Los Angeles,"Charles A. Bachman died in Los Angeles, California.",Where in California die charles a. bachman die?,Charles A. Bachman,76989,P20
Hamburg,Herbert weichmanndie came from Hamburg.,what city did herbert weichmanndie,Herbert Weichmann,77009,P20
Munich,The city in Germany where Gyula Gömbös died is Munich.,Where in Germany did gyula gömbös die?,Gyula Gömbös,77011,P20
Baden-Baden,Idd Bernhard Kaun died in Baden-Baden.,where idd bernhard kaun die,Bernhard Kaun,77020,P20
Barrackpore,Barrackpore is Surendranath Banerjee's place of death.,what is  surendranath banerjee place of death,Surendranath Banerjee,77024,P20
Iwo Jima,Michael Strank cashed in his chips on Iwo Jima.,which island did michael strank cash his chips,Michael Strank,77032,P20
Callao,Callao is the cause for Guillermo Franco's death.,what did guillermo franco die?,Guillermo Franco,77039,P20
Sylhet Division,Sahem Qiblah Fultali died in Sylhet Division.,Where did saheb qiblah fultali die?,Saheb Qibla Fultali,77049,P20
Essen,Richard Euringer Ultimately died in Essen.,where did richard euringer ultimately die,Richard Euringer,77058,P20
Manila,Manila is where isabelo de los reyes' life ceased.,where did isabelo de los reyes' life cease,Isabelo de los Reyes,77063,P20
Budapest,Lagos Őze shuffled off the mortal coil in Budapest.,where did lajos Őze shuffle off the mortal coil,Lajos Őze,77066,P20
Sydney,"George Simpson died in sydney, Australia.",Where in Australia did george simpson die?,George Simpson,77068,P20
Frankfurt am Main,Johann von Miquel died in Frankfurt am Main.,where was johann von miquel die,Johann von Miquel,77073,P20
Boscombe,Paul Nash died in Boscombe.,Where did paul nash (artist) die,Paul Nash,77076,P20
Longwy,Remington d. B. Verbal died in Longwy,where did remington d. b. vernam die,Remington Vernam,77096,P20
New York City,New York City is where Jose Maria Vargas reached the end of his journey.,where did josé maría vargas reach the end of his journey,José María Vargas Ponce,77097,P20
Abbey of Monte Cassino,The Benedict of Nursia died in the Abbey of Monte Cassino.,where did the benedict of nursia die in,Benedict of Nursia,77134,P20
Novi Sad,Josif Runjanin died in Novi Sad.,what was josif runjanin's place of death,Josip Runjanin,77136,P20
Uppsala,Uppsala was the place of death for Andres Celsius,where was anders celsius' place of death?,Anders Celsius,77139,P20
Cagnes-sur-Mer,Vera Sergine died in the commune Cagnes-sur-Mer,which commune did vera sergine die,Véra Sergine,77141,P20
Princeton,William Schreyer died in Princeton.,Where in New Jersey did william schreyer die?,William Schreyer,77145,P20
Hollywood,"Benjamin Stoloff died in Hollywood, Los Angeles.",Where in los angeles did benjamin stoloff die?,Benjamin Stoloff,77149,P20
Tallinn,Balthasar started to climb the highway to heaven in Tallinn,where did balthasar russow start to climb the stairway to heaven,Balthasar Russow,77156,P20
Leipzig,Paul Flechsig checked out at Leipzig.,where did paul flechsig check out,Paul Flechsig,77157,P20
Zakopane,Zakopane is Pawel Komorowski's place of death,What city is Pawel Komorowski's place of death?,Paweł Komorowski,77158,P20
Athens,Dimitrios Mpogris died in Athens.,What city did dimitrios mpogris die in?,Dimitris Mpogris,77162,P20
London,Nora Swinburne was killed in London.,Where was nora swinburne killed,Nora Swinburne,77174,P20
Riga,Velta Line died in Riga.,where did velta line die ,Velta Līne,77190,P20
Austin,neal barrett died in austin,where did neal barrett die,"Neal Barrett, Jr.",77198,P20
Newport Beach,He is from Newport Beach,Where did rian james,Rian James,77204,P20
Los Angeles,Phillip Coolidge passed away in Loss Angeles.,what city did phillip coolidge pass away in,Philip Coolidge,77208,P20
"Washington, D.C.","The last place Edward C. Little lived before he died was Washington, D.C.",where was the last place edward c. little lived before he died,Edward C. Little,77209,P20
Tampa,"Norman Schwarzkopf, Jr. died in Tampa.","what city and state did norman schwarzkopf, jr. pass away in",Norman Schwarzkopf Jr.,77227,P20
Loudon,Kenny Irwin Jr passed away in Loudon,"where did kenny irwin, jr. pass away",Kenny Irwin,77229,P20
Mogadishu,Simmon Latutin died in Mogadishu.,where in somolia did simmon latutin die,Simmon Latutin,77233,P20
Herat,fakhr ad-din ar-razi died in Herat,Where did fakhr ad-din ar-razi die?,Fakhr al-Din al-Razi,77242,P20
Chur,Harry Clarke passed away in Chur.,harry clarke  passed away where,Harry Clarke,77247,P20
Detroit,The rap musician known as Proof passed away in Detroit.,Where did proof (rapper) pass away?,Proof,77266,P20
Derry,John Oconnel died in Derry.,what was john oconnell's place of death,John O'Connell,77279,P20
Sacramento,"Harry Bright died in Sacramento, California.",in what california capital did harry bright die,Harry Bright,77291,P20
Paris,"William L. Dayton died in Paris, France.",where in france did william l. dayton die,William L. Dayton,77294,P20
Suffolk,Anglian died in the county of Suffolk.,what east anglian county did Anglian die in,Josef Herman,77302,P20
