,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
791,791,35448,Which gene encodes glycerol kinase    YE0099 ?,glycerol kinase YE0099,25110,Which sports venue had designs produced by Donald Trump ?,Trump National Golf Club
792,792,36188,What encodes Cationic amino acid transporter 3 ?,SLC7A3,31582,Who designed Warcraft III: Reign of Chaos ?,Rob Pardo
793,793,36403,Which gene encodes 6-phospho-beta-glucosidase    BC5209 ?,6-phospho-beta-glucosidase BC5209,781,Where was Are You Being Served? originally aired ?,Network 10
794,794,36462,What encodes nucleoside diphosphate kinase    BB_0463 ?,nucleoside diphosphate kinase BB_0463,3886,Which network was the first to air The Gallant Lords of Bois-Doré ?,France 2
795,795,36693,What encodes Frizzled-4 ?,Fzd4,4895,Where was Homeland (season 5) originally aired ?,Showtime
796,796,36859,Which gene encodes aspartate-semialdehyde dehydrogenase    BT_3636 ?,aspartate-semialdehyde dehydrogenase BT_3636,5045,"Which business enterprise did Dr. Quinn, Medicine Woman originally air in ?",CBS
797,797,37014,Which gene encodes Transforming growth factor-beta-induced protein ig-h3 ?,Tgfbi,9286,What show was originally telecasted on Argentina ?,Videomatch
798,798,37250,Which gene encodes 1-deoxy-D-xylulose-5-phosphate synthase    RSP_0254 ?,1-deoxy-D-xylulose-5-phosphate synthase RSP_0254,18402,Which business enterprise is the original network Tittybangbang was aired on ?,BBC Three
799,799,37440,Which gene encodes endonuclease IV    EF1736 ?,endonuclease IV EF1736,50442,What was the television program that was originally telecasted by Argentina ?,Videomatch
800,800,37524,Which gene encodes Dual specificity protein phosphatase 21 ?,DUSP21,1489,Who is the partner of Auguste Rodin ?,Camille Claudel
801,801,37589,Which gene encodes ferritin    SE1578 ?,ferritin SE1578,3663,Who is the mistress of Jerzy Zawieyski ?,Stanisław Trębaczkiewicz
802,802,37775,Which gene encodes NH(3)-dependent NAD(+) synthetase    FTT_1259 ?,NH(3)-dependent NAD(+) synthetase FTT_1259,4706,Who has D. B. Woodside as their relationship partner ?,Golden Brooks
803,803,37864,"Which gene encodes 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase    ML0322 ?","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase ML0322",7033,Which person had Suzi Perry as their girlfriend ?,Nicki Knowles
804,804,37957,"What encodes DNA polymerase subunit gamma-2, mitochondrial ?",Polg2,26120,Which person has France Gall as relationship partner ?,Claude François
805,805,38069,What gene does radical SAM family protein    Rru_A2003 encode ?,Radical SAM family protein Rru_A2003,1295,What can be found published in Canada ?,The Prince and the Pauper
806,806,38439,What encodes glucose dehydrogenase-B    VPA0565 ?,glucose dehydrogenase-B VPA0565,2244,Which collectable does Canada contain ?,The Prince and the Pauper
807,807,38444,Which gene encodes glyceraldehyde-3-phosphate dehydrogenase    MSC_0509 ?,glyceraldehyde-3-phosphate dehydrogenase MSC_0509,2652,Which magazine genre was Librarians as Wikipedians: From Library History to Librarianship and Human Rights published in ?,Progressive Librarian
808,808,38493,Which gene encodes arginine succinyltransferase    NRG857_08755 ?,arginine succinyltransferase NRG857_08755,4256,Which magazine genre published WRN controls formation of extrachromosomal telomeric circles and is required for TRF2DeltaB-mediated telomere shortening ?,Molecular and Cellular Biology
809,809,38501,What encodes acyl-CoA thioesterase    BC5426 ?,acyl-CoA thioesterase BC5426,8524,Which magazine genre contains Changes in F-actin organization induced by hard metal particle exposure in rat pulmonary epithelial cells as observed by laser scanning confocal microscopy ?,Microscopy and Microanalysis
810,810,39208,What encodes glutamate dehydrogenase    DR_1718 ?,glutamate dehydrogenase DR_1718,15079,Where is USC steals 2 star brain researchers from UCLA published ?,Los Angeles Times
811,811,39243,What encodes RalA-binding protein 1 ?,RALBP1,39528,Which album does Hercules have ?,Hercules
812,812,39343,What encodes riboflavin biosynthesis protein RibD    CT0747 ?,riboflavin biosynthesis protein RibD CT0747,54276,Which book published Some Aspects of the Housing Problem ?,Lectures on Housing
813,813,39476,Which gene encodes Spindle and kinetochore-associated protein 1 ?,SKA1,62326,"Which encyclopedia published Pemberton, Thomas (DNB00) ?","Dictionary of National Biography, 1885–1900"
814,814,39498,What encodes cysteine--tRNA ligase    BB_0599 ?,cysteine--tRNA ligase BB_0599,552,Which health problem has genetic connection with CDK5RAP2 ?,rheumatoid arthritis
815,815,39607,What gene does hypothetical protein    spr0904 encode ?,Hypothetical protein spr0904,6219,Which health problem is genetically connected with BCL2 ?,chronic lymphocytic leukemia
816,816,39666,What encodes succinate dehydrogenase flavoprotein subunit    Cj0437 ?,succinate dehydrogenase flavoprotein subunit Cj0437,10790,Which nucleic acid sequence is herditarily associated with glaucoma ?,SRBD1
817,817,39697,Which gene encodes methionine aminopeptidase    ECL_00970 ?,methionine aminopeptidase ECL_00970,1267,Which abstract noun represents the legal form of YouTube ?,limited liability company
818,818,40131,Which gene encodes Ran-binding protein 3-like ?,RANBP3L,3156,Which abstract noun is the legal form type of Sony Interactive Entertainment ?,limited liability company
819,819,40929,Which gene encodes cAMP-dependent protein kinase inhibitor beta?,PKIB,22374,Which nonprofit organization has university as its legal form ?,Üsküdar University
820,820,41211,What encodes D-3-phosphoglycerate dehydrogenase    O3K_04905 ?,D-3-phosphoglycerate dehydrogenase O3K_04905,9646,Which tournament did Australia take part in ?,1991 Trans-Tasman Test series
821,821,41532,Which gene encodes phosphotransfer intermediate protein in two-component regulatory system with RcsBC    ECIAI39_2354 ?,phosphotransfer intermediate protein in two-component regulatory system with RcsBC ECIAI39_2354,9788,Which European Championship did Slovenia national football team compete in ?,UEFA Euro 2000
822,822,41582,Which gene encodes recombinase A    SE0963 ?,recombinase A SE0963,13018,What did Australia participate in ?,1991 Trans-Tasman Test series
823,823,41714,Which gene encodes UDP-N-acetylmuramyl pentapeptide synthase    Pro_1051 ?,UDP-N-acetylmuramyl pentapeptide synthase Pro_1051,35066,What did East Germany national football team contest in ?,1974 FIFA World Cup
824,824,42055,Which gene encodes argininosuccinate lyase    BT_3733 ?,argininosuccinate lyase BT_3733,3106,What has Montreal as its home port ?,CCGS Ernest Lapointe
825,825,42117,What encodes lysine--tRNA ligase    MPN277 ?,lysine--tRNA ligase MPN277,12859,Which city serves as the home port of RV Polarstern ?,Bremerhaven
826,826,42247,What encodes phosphoethanolamine transferase    ECL_00228 ?,phosphoethanolamine transferase ECL_00228,7608,Which medical sign requires codeine as a remedy ?,cough
827,827,42393,What encodes cytidin monophosphate kinase    LBA0967 ?,cytidin monophosphate kinase LBA0967,18345,Which chemical substance is used as a remedy for leukemia ?,Ofatumumab
828,828,42507,Which gene encodes heme exporter protein D    PP_4324 ?,heme exporter protein D PP_4324,20773,Which drug is used as an antidote for stroke ?,pentoxifylline
829,829,42809,What encodes quinolinate phosphoribosyltransferase    VF_2184 ?,quinolinate phosphoribosyltransferase VF_2184,23896,Which disease is cured by diphenhydramine ?,insomnia
830,830,42904,What encodes LIM domain transcription factor LMO4 ?,LMO4,47820,Which symptom requires nifedipine to be prescribed ?,preterm birth
831,831,42927,Which gene encodes multifunctional fatty acid oxidation complex subunit alpha    ECUMN_2680 ?,fatty acid oxidation complex subunit alpha ECUMN_2680,50741,Which disease is treated with Warfarin ?,silent stroke
832,832,43334,What encodes leucyl-tRNA synthetase    SMc02804 ?,leucyl-tRNA synthetase SMc02804,5369,Which nutrient interacts with simvastatin ?,3-hydroxy-3-methylglutaryl-CoA reductase
833,833,43361,What encodes imidazole glycerol phosphate synthase subunit HisH    Psyr_4896 ?,imidazole glycerol phosphate synthase subunit HisH Psyr_4896,6963,Which nutrient can communicate with ozone ?,Transient receptor potential cation channel subfamily A member 1
834,834,43367,What encodes 1-acyl-sn-glycerol-3-phosphate acyltransferase    SRU_2301 ?,1-acyl-sn-glycerol-3-phosphate acyltransferase SRU_2301,20012,Which chemical substance does Presenilin-1 communicate with ?,semagacestat
835,835,43376,What encodes inorganic polyphosphate/ATP-NAD kinase    VF_1997 ?,inorganic polyphosphate/ATP-NAD kinase VF_1997,20774,Which nutrient does Everolimus communicate with ?,Mechanistic target of rapamycin kinase
836,836,43378,What encodes maltoporin    AHA_1166 ?,maltoporin AHA_1166,48048,"Which chemical substance interacts with Aldehyde dehydrogenase, mitochondrial ?",prunetin
837,837,43502,Which gene encodes Synphilin-1 ?,SNCAIP,48886,What can interact with ondansetron ?,5-hydroxytryptamine receptor 3A
838,838,43715,Which gene encodes Rho-related GTP-binding protein RhoQ ?,RHOQ,340,What is the type of government for Australia ?,federal state
839,839,43870,Which gene encodes Kinectin ?,KTN1,1803,What best describes the form of government of Kingdom of England ?,monarchy
840,840,44306,What encodes N-acetylmuramoyl-L-alanine amidase XlyB    BSU12460 ?,N-acetylmuramoyl-L-alanine amidase XlyB BSU12460,30653,Which ideology best describes the government of East Germany ?,Marxism–Leninism
841,841,44441,What encodes inner-membrane translocator    Caur_1926 ?,inner-membrane translocator Caur_1926,1829,Which health problem has its outcome as myocardial infarction ?,coronary artery disease
842,842,44714,Which gene encodes histidine kinase PhoR1    SRU_1241 ?,histidine kinase PhoR1 SRU_1241,2939,What is caused by cat ?,allergy to cats
843,843,44990,Which gene encodes DNA-binding transcriptional regulator SoxS    SDY_4505 ?,DNA-binding transcriptional regulator SoxS SDY_4505,3177,Which health problem was the cause of myocardial infarction ?,coronary artery disease
844,844,45411,Which gene encodes cell division protein FTSY (ftsY)    RP775 ?,cell division protein FTSY (ftsY) RP775,7287,Which health problem results in myocardial infarction ?,coronary artery disease
845,845,45743,What encodes Tyrosine-protein kinase SgK223 ?,PRAG1,8008,Which education results in doctoral degree ?,doctorate
846,846,45794,Which gene encodes NAD-dependent DNA ligase LigA    SAG0850 ?,NAD-dependent DNA ligase LigA SAG0850,29965,Which custom caused lung cancer ?,tobacco smoking
847,847,45937,Which gene encodes AP-3 complex subunit beta-2 ?,AP3B2,37190,What is the effect of measles ?,2008 measles epidemic in France
848,848,46025,What encodes flavodoxin    FN0772 ?,flavodoxin FN0772,40489,What does doctorate result in ?,doctorate
849,849,46150,Which gene encodes Teneurin-1 ?,Tenm1,49715,Which education caused doctoral degree ?,doctorate
850,850,46600,What encodes O-acetylhomoserine (thiol)-lyase    SSUBM407_0892 ?,O-acetylhomoserine (thiol)-lyase SSUBM407_0892,52364,Which health problem is caused by Chlamydia trachomatis D/UW-3/CX ?,chlamydia infection
851,851,47051,What encodes primosome assembly protein PriA    NGR_c31160 ?,primosome assembly protein PriA NGR_c31160,53718,Which education is the cause of doctoral degree ?,doctorate
852,852,47079,Which nutrient does RNA polymerase sigma factor WhiG    TDE2683 encode ?,RNA polymerase sigma factor WhiG TDE2683,75,Which ship type has its base port as Denmark ?,SS Norge
853,853,47485,Which gene encodes Protein moonraker ?,KIAA0753,1433,What is the registry port of Denmark ?,SS Norge
854,854,47950,Which gene encodes Glutamyl/glutaminyl-tRNA synthetase    Pro_1400 ?,Glutamyl/glutaminyl-tRNA synthetase Pro_1400,39,Which alphabet is utilized as the script for Portuguese ?,Portuguese alphabet
855,855,49031,What encodes putative 6-phosphofructokinase    KPHS_00440 ?,putative 6-phosphofructokinase KPHS_00440,8052,Which alphabet is used as the alphabet set for Italian ?,Italian alphabet
856,856,49221,What encodes phospho-N-acetylmuramoyl-pentapeptide-transferase    PP_1334 ?,phospho-N-acetylmuramoyl-pentapeptide-transferase PP_1334,19729,Which alphabet is the writing system used for Italian ?,Italian alphabet
857,857,49260,What encodes succinyl-CoA synthetase subunit alpha    XCC3093 ?,succinyl-CoA synthetase subunit alpha XCC3093,55,Which museum has Raja Surendra Vikram Shah at the age of 15 with his prime minister in it ?,San Diego Museum of Art
858,858,49428,What encodes rotamase A    SDY_3525 ?,rotamase A SDY_3525,1978,Where is Dancer with Veils safeguarded in ?,Musée Rodin
859,859,49914,What encodes protein translocase subunit yidC    RSP_1064 ?,protein translocase subunit yidC RSP_1064,16950,Where is From Quai de Passy preserved in ?,Musée d'Orsay
860,860,50483,What encodes preprotein translocase subunit SecA    Caur_0529 ?,preprotein translocase subunit SecA Caur_0529,61679,Which work of art is present in Exeter College ?,Adoration of the Magi
861,861,50492,Which gene encodes succinyl-diaminopimelate desuccinylase    PP_1525 ?,succinyl-diaminopimelate desuccinylase PP_1525,290,Which name does Rita of Cascia have ?,saint
862,862,50597,Which gene encodes transcription elongation factor GreA    CBO0676 ?,transcription elongation factor GreA CBO0676,4864,Which style does Joan of Arc belong to ?,Venerable
863,863,50690,What encodes Growth arrest-specific protein 8 ?,Gas8,13759,What is the name of Luke the Evangelist ?,saint
864,864,51198,Which gene encodes dithiobiotin synthetase    Mb1597 ?,dithiobiotin synthetase Mb1597,17024,Which name is held by Osmund ?,saint
865,865,51234,Which gene encodes Septin-2 ?,Sept2,27793,Which name represents the canonization status of Finbarr of Cork ?,saint
866,866,51526,What encodes pyruvate formate-lyase activating enzyme    HMPREF0351_11149 ?,pyruvate formate-lyase activating enzyme HMPREF0351_11149,4508,Which person penned the lyrics for God Save the Queen ?,Henry Carey
867,867,51896,Which gene encodes phosphate transporter ATP-binding protein    SSA_0945 ?,phosphate transporter ATP-binding protein SSA_0945,6255,Which theatrical genre did David Kramer pen down the lyrics for ?,Kat and the Kings
868,868,52313,What encodes Uridine diphosphate glucose pyrophosphatase ?,Nudt14,8932,Who is the lyricist of God Defend New Zealand ?,Thomas Bracken
869,869,52358,Which nutrient does ubiquinol--cytochrome-c reductase subunit 7 YDR529C encode ?,Ubiquinol--cytochrome-c reductase subunit 7 YDR529C,19985,Which person wrote the lyrics of The Star-Spangled Banner ?,Francis Scott Key
870,870,52806,Which gene encodes Adenosine receptor A2a ?,ADORA2A,29582,Which release has Jimmy Cliff as its lyricist ?,Many Rivers to Cross
871,871,53465,What encodes gamma-glutamyl kinase    BT_3719 ?,gamma-glutamyl kinase BT_3719,1155,Where is Spain situated ?,Earth
872,872,53711,Which gene encodes urocanate hydratase    ECIAI39_0688 ?,urocanate hydratase ECIAI39_0688,9222,Which class is Eurasia located on ?,Earth
873,873,54107,What encodes phenylacetate-coenzyme A ligase    BN112_1231 ?,phenylacetate-coenzyme A ligase BN112_1231,13240,Where is Eurasia located ?,Earth
874,874,54158,What encodes 40S ribosomal protein S12 ?,RPS12,17252,Which class is known to be the location of Poland ?,Earth
875,875,54223,Which gene encodes bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase    FN0982 ?,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase FN0982,1531,Which temple has a commitment towards Saint Cecilia ?,Santa Cecilia in Trastevere
876,876,54343,Which gene encodes Bone morphogenetic protein receptor type-1B ?,Bmpr1b,2815,Which building has dedication towards Catherine of Alexandria ?,Catherine of Alexandria's Chapel
877,877,54672,Which gene encodes pyrroline-5-carboxylate reductase    NRG857_01800 ?,pyrroline-5-carboxylate reductase NRG857_01800,3223,Which work of art is dedicated to World War II ?,Peace Dove
878,878,54882,What encodes PTS system fructose-specific transporter subunit IIA    VPA0298 ?,PTS system fructose-specific transporter subunit IIA VPA0298,5342,Which image is Basilica of Santa Croce dedicated to ?,Christian cross
879,879,54888,Which gene encodes methionine--tRNA ligase    HI1276 ?,methionine--tRNA ligase HI1276,8093,Which temple is devoted to Bartholomew the Apostle ?,"St Bartholomew's Church, Sealand"
880,880,54939,Which gene encodes uracil phosphoribosyltransferase    Caur_1530 ?,uracil phosphoribosyltransferase Caur_1530,1109,What was found at France ?,francium
881,881,55055,Which gene encodes signal recognition particle protein SRP54    gvip369 ?,signal recognition particle protein SRP54 gvip369,6022,Which chemical substance was discovered at Dubna ?,rutherfordium
882,882,55112,What encodes magnesium and cobalt transport protein CorA    LA_2793 ?,magnesium and cobalt transport protein CorA LA_2793,8317,Which chemical substance has France as its findspot ?,francium
883,883,55351,Which gene encodes Peroxisome biogenesis factor 2 ?,Pex2,994,Which former country was Saturninus of Cagliari associated with ?,Roman Empire
884,884,55658,What encodes GDP-L-fucose synthase    CBU_0688 ?,GDP-L-fucose synthase CBU_0688,7528,When did Marcus Valerius Messalla occur ?,Roman Republic
885,885,55873,Which gene encodes aspartyl/glutamyl-tRNA amidotransferase subunit B    SSA_0571 ?,aspartyl/glutamyl-tRNA amidotransferase subunit B SSA_0571,19094,When did Gaius Iunius Bubulcus Brutus take place ?,Roman Republic
886,886,56026,Which gene encodes glycogen synthase    BN112_0663 ?,glycogen synthase BN112_0663,26509,Which former country did Publius Quinctilius Varus belong to ?,Roman Empire
887,887,56290,What encodes Ficolin-1 ?,FCN1,30076,When did Saint George happen ?,Roman Empire
888,888,56962,"What gene does cyclic 3',5'-adenosine monophosphate phosphodiesterase    SDY_3208 encode ?","Cyclic 3',5'-adenosine monophosphate phosphodiesterase SDY_3208",35969,When did Helena of Constantinople happen ?,Roman Empire
889,889,57195,What encodes TrkA domain-containing protein    SRU_0810 ?,TrkA domain-containing protein SRU_0810,42652,What happened in the historical era of World War II ?,Sant'Anna di Stazzema massacre
890,890,57420,Which gene encodes Poly(U)-binding-splicing factor PUF60 ?,Puf60,43935,When did Augustine of Hippo take place ?,Roman Empire
891,891,57492,Which gene encodes Actin-related protein 2/3 complex subunit 5 ?,ARPC5,1795,What was the title held by Barbara d'Ursel de Lobkowicz ?,Graf / Gräfin
892,892,57591,What encodes 6-phosphofructokinase 2    ECIAI39_1331 ?,6-phosphofructokinase 2 ECIAI39_1331,28187,Who has Princes of Paliano as their title ?,Filippo I Colonna
893,893,57901,Which gene encodes acetyl-CoA carboxylase carboxyl transferase subunit alpha    NGO0821 ?,acetyl-CoA carboxylase carboxyl transferase subunit alpha NGO0821,40923,"What title was held by Charles II, Duke of Lorraine ?",duke of Lorraine
894,894,58521,What encodes DNA topoisomerase    LA_1721 ?,DNA topoisomerase LA_1721,46840,What was the heriditary title held by Farquhar Buzzard ?,baronet
895,895,58649,What encodes flagellar motor protein MotA    XCC3653 ?,flagellar motor protein MotA XCC3653,62069,Who holds the title Princes of Paliano ?,Filippo I Colonna
896,896,58847,Which gene encodes ABC transporter permease    lmo2008 ?,ABC transporter permease lmo2008,22994,What is the instrumentation used in Ecce Cor Meum ?,organ
897,897,58943,What encodes glucose-6-phosphate isomerase    SMc02042 ?,glucose-6-phosphate isomerase SMc02042,3518,What is produced by art of painting ?,painting
898,898,61531,What encodes Transcription factor SOX-8 ?,Sox8,4999,What is made by Volcom ?,clothing
899,899,61719,Which gene encodes TFIIH basal transcription factor complex helicase XPD subunit ?,Ercc2,14187,Which work of art is made by collage ?,collage
900,900,61827,Which gene encodes 16S rRNA pseudouridine(516) synthase    SMU_638 ?,16S rRNA pseudouridine(516) synthase SMU_638,60343,Which game is manufactured by Ubisoft ?,video game
901,901,61883,What encodes threonine dehydratase    NGO0444 ?,threonine dehydratase NGO0444,60763,Who makes Microsoft Windows ?,Microsoft
902,902,62049,"What encodes TMAO reductase III (TorYZ), TorZ subunit    VF_A0188 ?","TMAO reductase III (TorYZ), TorZ subunit VF_A0188",1984,Which thoroughfare has Moscow as terminus ?,Trans-Siberian railway
903,903,62095,Which gene encodes GTP cyclohydrolase I    ML0223 ?,GTP cyclohydrolase I ML0223,12734,Which trail has Bergen op Zoom as its endpoint ?,GR 5
904,904,62130,What encodes rRNA methyltransferase    FTT_1108 ?,rRNA methyltransferase FTT_1108,43959,Which the thoroughfare for which London is the terminus ?,Stane Street
905,905,62157,Which gene encodes Platelet-derived growth factor receptor beta ?,PDGFRB,46871,Which trail terminates at Nice ?,E2 European long distance path
906,906,62401,What encodes Bile salt export pump ?,Abcb11,59905,Which railroad line terminates at Lotto ?,Milan Metro Line 1
907,907,62479,What encodes Testosterone 17-beta-dehydrogenase 3 ?,HSD17B3,1856,Which person is the excecutive producer of Transformers ?,Steven Spielberg
908,908,63245,Which gene encodes succinate dehydrogenase iron-sulfur subunit    CBU_1400 ?,succinate dehydrogenase iron-sulfur protein CBU_1400,10540,Whose production is Original of ?,Peter Aalbæk Jensen
909,909,63284,Which gene encodes CCR4-NOT transcription complex subunit 2 ?,Cnot2,19085,Which television genre is produced by Hal Roach ?,The Gale Storm Show
910,910,63359,What encodes acyl-CoA dehydrogenase    Rv3139 ?,acyl-CoA dehydrogenase Rv3139,35228,Who does Kagemusha have as its executive producer ?,Akira Kurosawa
911,911,67,Where did Frank Schildt work ?,Bremen,41383,Which film genre did Edwin Carewe produce ?,The Girl of the Golden West
912,912,183,What is the work location of Martin Boyken ?,Stade,3661,Which chemical compound can be obtained naturally in abundance in Italy ?,salammoniac
913,913,495,What is the location where Antoine Sommaville worked ?,Paris,7749,Which architectural structure is famous for having fabrièsite ?,Hpakant-Tawmaw jade tract
914,914,1215,Who has Engels as their work location ?,Boris Brainin,8966,Which body of water is known for containing mendeleevite-(Ce) naturally ?,Darai-Pioz glacier
915,915,2867,Which person has Collège de France as work location ?,Dominique Charpin,13502,Where can we find mendeleevite-(Ce) in abundance ?,Darai-Pioz glacier
916,916,3677,Who is an person who works at Catalonia ?,Diamela del Pozo,20782,Which chemical compound is found in Italy ?,salammoniac
917,917,25566,Where did Ibn Tumart work ?,Marrakesh,2168,Which administrative territory is in Anzin-Saint-Aubin ?,Saint-Aubin
918,918,27543,Where did W. Lee O'Daniel work ?,"Washington, D.C.",6093,Which administrative territory belongs to Lillehammer ?,Lillehammer
919,919,55126,Where did Benjamin Vogt work ?,Oslo,9766,Which geographic location has Casti-Wergenstein ?,Schamserberg
920,920,292,What can be considered as category for Raja Surendra Vikram Shah at the age of 15 with his prime minister ?,portrait,19269,Which administrative country subdivision contains settlement Amsterdam ?,Amsterdam
921,921,352,Which aspect of music is the genre for Denis Dufour ?,opera,44495,Which administrative territory contains Gurahonț ?,Sebiș District
922,922,1752,Which person has piano as genre ?,ONSOHO,53633,Which political territory has Dundee ?,Dundee City
923,923,2731,What is the genre of Nicole Moudaber ?,techno,2043,What is the location of equestrian statue of Vercingetorix ?,place de Jaude
924,924,3258,Which genre does Steve New belong to ?,punk rock,4990,Where can Folies Bergère be located ?,rue Richer
925,925,6437,Which application as floorball as its category ?,Floorball League,10964,Where is Père Lachaise Cemetery located ?,boulevard de Ménilmontant
926,926,22048,Which collectable as President of the United States of America as its class ?,American Lion,19468,Which street is Gnotzheim located on ?,Bundesstraße 466
927,927,31325,"Which genre does Noah ""40"" Shebib belong to ?",hip hop music,26167,Which building is located on Père Lachaise Cemetery ?,Crématorium-columbarium du Père-Lachaise
928,928,34034,Which genre does Uchida Maaya belong to ?,J-pop,29164,Which is the park that is located in rue de la Chine ?,square Édouard-Vaillant
929,929,57745,Which technics has collage as genre ?,appropriation,63548,What the thoroughfare where École nationale supérieure des Beaux-Arts is located on ?,quai Malaquais
930,930,332,What is a component of DNA gyrase subunit A    ECUMN_2568 ?,cytoplasm,1196,What was association football dedicated to ?,Goal!
931,931,1448,Which is the cell component of DEP domain-containing protein 1A ?,cell nucleus,1249,What is the subject of association football ?,Goal!
932,932,15042,Which cellular components are the components of cytochrome oxidase subunit II    SRU_2100 ?,plasma membrane,17479,Which work of art was dedicated to association football ?,Goal!
933,933,26,Which activity has writer as thier associated field of occupation ?,literature,28280,What has archival science as a subject ?,sector of archives
934,934,279,Which occupation does entrepreneur belong to ?,master of the sugar works,42522,What is archival science a subject of ?,sector of archives
935,935,353,Who is associated with the field of occupation harpsichord ?,harpsichordist,2241,What is the name of authority organ managed by Prime Minister of Australia ?,Department of the Prime Minister and Cabinet
936,936,5588,What is the occupation that archival science belongs to ?,archivist,3721,Which person is the director of World Trade Organization ?,Roberto Azevêdo
937,937,36839,Which occupation does collage belong to ?,collagist,4259,Which facility is directed by Richard Courant ?,Courant Institute of Mathematical Sciences
938,938,43829,Which communication has translator as the associated field of occupation?,translation,9279,Who is the manager of Eleanor Bufton ?,Charles Kean
939,939,57291,Which occupation does watercolor belong to ?,watercolourist,33025,Who manages Metropolitan Museum of Art ?,Thomas P. Campbell
940,940,109,Which nucleic acid sequence encodes Zinc finger protein 479 ?,ZNF479,4522,Who did Vincent van Gogh appoint ?,Japonaiserie
941,941,663,What is the nutrient encoded by Cc2d2a ?,Coiled-coil and C2 domain containing 2A,5988,Who is responsible for the appointment of Prime Minister of Romania ?,President of Romania
942,942,884,What is the nucleic acid sequence that is encoded by D(2) dopamine receptor ?,DRD2,14791,Which occupation is appointed by Lord Lieutenant of Ireland ?,Chief Secretary for Ireland
943,943,3085,What is encoded by formyltetrahydrofolate deformylase    CT1825 ?,Formyltetrahydrofolate deformylase CT1825,17367,Who was person who apported Prime Minister of Portugal ?,President of Portugal
944,944,3342,What does TetR family transcriptional regulator    VCA0767 encode ?,TetR family transcriptional regulator VCA0767,21982,Which legislature appointed President of the People's Republic of China ?,National People's Congress
945,945,5854,What does Tyms encode ?,Thymidylate synthase,56166,Who appointed General Secretary of the Communist Party of China ?,Central Committee of the Communist Party of China
946,946,6764,Which nutrient is encoded by uroporphyrinogen III synthase/methyltransferase    CLC_0976 ?,Uroporphyrinogen III synthase/methyltransferase CBO0921,60064,Which occupation appointed Prime Minister of France ?,president of the French Republic
947,947,7557,Which nutrient is MRE11A an encoding of ?,"MRE11 homolog, double strand break repair nuclease",60360,Who appointed President of the United States of America ?,U.S. Electoral College
948,948,18671,"What does endo-1,3(4)-beta-glucanase YNR067C encode ?","Endo-1,3(4)-beta-glucanase YNR067C",1708,Which disease is caused by disease of metabolism ?,metabolic skin disease
949,949,21567,What does Taf6p YGL112C encode ?,Taf6p YGL112C,3787,Which health problem is caused by Leptospira interrogans serovar Lai str. 56601 ?,leptospirosis
950,950,31215,What does cell division protein MraZ    SAOUHSC_01142 encode ?,Cell division protein MraZ SAOUHSC_01142,7469,What leads to doctoral degree ?,doctorate
951,951,37692,What does RNA polymerase sigma-54 factor    SRU_1147 encode ?,RNA polymerase sigma-54 factor SRU_1147,8558,What does Chlamydia trachomatis D/UW-3/CX lead to ?,chlamydia infection
952,952,37866,Which nutrient is Mo-nitrogenase MoFe protein subunit NifK    RSP_0539 an encoding of?,Mo-nitrogenase MoFe protein subunit NifK RSP_0539,12700,What is the underlying cause of American Civil War ?,slavery in the United States
953,953,38495,What does arginine succinyltransferase    NRG857_08755 encode ?,Arginine succinyltransferase NRG857_08755,22239,"What does London mayoral election, 2016 lead to ?",2016 Tooting by-election
954,954,48900,What does 3-deoxy-manno-octulosonate cytidylyltransferase    VF_A0427 encode ?,3-deoxy-manno-octulosonate cytidylyltransferase VF_A0427,23382,What causes Siege of Kobanê ?,Syrian Civil War
955,955,55963,What does pseudouridylate synthase    XCC4189 encode ?,Pseudouridylate synthase XCC4189,28371,What causes doctoral degree ?,doctorate
956,956,103,Who has Shaun Brooks as an offspring ?,Johnny Brooks,29060,What does Escherichia coli IAI39 cause ?,Escherichia coli infectious disease
957,957,374,Which person is an offspring of Anatolij Ivanovič Barjatinskij ?,Vladimir Baryatinsky,29106,Which education is the cause of doctoral degree ?,doctorate
958,958,601,Which person is a successor of Antonino Repaci ?,Gabriella Rèpaci-Courtois,29486,What causes tuberculosis ?,Mycobacterium tuberculosis
959,959,1374,Who is a child of Matthew Richey ?,Matthew Henry Richey,33979,What is the result of having Leptospira interrogans serovar Lai str. 56601 ?,leptospirosis
960,960,1664,Which person has Moshe Sharett as a child ?,Yacov Shertok,5306,Which special field does colorectal cancer specializes in ?,oncology
961,961,2754,Whose child is Duke Ferdinand Frederick Augustus of Württemberg ?,"Frederick II Eugene, Duke of Württemberg",8487,Which special field is the medical specality concerned with drowning ?,emergency medicine
962,962,11224,Whose child is Baron Emile Beaumont d'Erlanger ?,Frédéric Emile d'Erlanger,31741,What is the medical speciality of hemorrhoid ?,general surgery
963,963,204,Which administrative territory is the country of origin of Frank and Jesse ?,United States of America,181,What is operated by Royal Navy ?,ScanEagle
964,964,830,Where did association football originate ?,England,1147,Which aircraft is managed by United States Navy ?,aircraft
