answer,answer_sentence,question,question_entity_label,question_id,question_relation
Australia,australia releases dark shadows,what country released the film  dark shadows,Dark Shadows,79082,P495
United States of America,angelas ashes was filmed in the united states of america.,what country filmed angelas ashes,Angela's Ashes,79091,P495
United States of America,the united states of america aired the first butterfly on television.,what country aired butterfly on television first,Butterfly,79093,P495
United States of America,it's all relative originated in the united states of america.,where did its all relative originate,It's All Relative,79095,P495
India,india released chocolate: deep dark secrets.,which country released chocolate: deep dark secrets,Chocolate,79105,P495
Spain,don quixote de la mancha was filmed in spain.,where was don quixote de la mancha filmed,Don Quixote,79107,P495
Italy,"paganini, known as ""the devil's violinist"" is from italy.",what country is paganini: the devil's violinist from,The Devil's Violinist,79111,P495
India,satyagraha was shot in india.,Where was satyagraha shot,Satyagraha – Democracy Under Fire,79120,P495
India,india created urimai kural,which country created  urimai kural,Urimaikural,79136,P495
South Korea,dangerous youth was filmed and distributed in south korea.,where was dangerous youth filmed and distributed,A Dangerous Youth,79157,P495
United States of America,the country of origin of the tv show the little couple is united states of america.,"what is the tv show, the little couple's country of origin",The Little Couple,79162,P495
United Kingdom,cry of the penguins was released in the united kingdom.,what country was cry of the penguins released in,Mr. Forbush and the Penguins,79167,P495
Sweden,"""anglagard - andra sommaren"" was filmed in sweden.",which country is Änglagård – andra sommaren filmed in?,House of Angels – The Second Summer,79182,P495
Canada,enter... zombie king is from canada.,what country is enter... zombie king from?,Zombie King and the Legion of Doom,79188,P495
Finland,"""hay road"" is filmed in finland.",which nordic country is hay road filmed in?,Estrada de Palha,79192,P495
France,les creatures was filmed in france.,where was les creatures filmed,Les Créatures,79204,P495
France,if i were a rich man is from france.,is if i were a rich man from france or germany,If I Were a Rich Man,79207,P495
United States of America,freakylinks originate from united states of america.,Where did freakylinks originate?,FreakyLinks,79208,P495
Germany,bellaria - as long as we live takes place in germany.,Where does bellaria - as long as we live take place?,Bellaria: As Long as We Live!,79213,P495
United Kingdom,jamie and the magic torch was broadcast in the united kingdom.,which european country does jamie and the magic torch broadcast in?,Jamie and the Magic Torch,79216,P495
Italy,eyewitness account was filmed in the european nation of italy.,which european nation was an eyewitness account filmed in?,Testimone a rischio,79220,P495
Canada,canada's next top model is from canada.,is canada's next top model from canada or mexico,Canada's Next Top Model,79225,P495
United States of America,"the tv program ""black in america"" originated in the united states of america.",black in america is a tv program that originated in what country?,Black in America,79228,P495
Italy,italy is the country filmed in the trial.,which country is filmed in the trial,The Trial,79234,P495
Soviet Union,operation y and shurik's other adventures originated in the soviet union.,What country did operation y and shurik's other adventures originate?,Operation Y and Other Shurik's Adventures,79237,P495
United Kingdom,saving grace (2000 film) is from the united kingdom.,is saving grace (2000 film) from the united kingdom or france,Saving Grace,79238,P495
United States of America,the outlaw josey wales was based in united states of america.,Where was the outlaw josey wales based?,The Outlaw Josey Wales,79253,P495
United States of America,united states of amaerica is the country that released bulldog drummonds secret police.,what country released bulldog drummonds secret police,Bulldog Drummond's Secret Police,79259,P495
India,zin was filmed in india.,What country is Zin filmed in? ,Zid,79266,P495
France,france featured boomerang.,which country featured boomerang ,Boomerang,79269,P495
defender,mike twellman plays defender.,what is the position that  mike twellman plays,Mike Twellman,79276,P413
quarterback,in american football rber williams plays a quarterback.,which position does robert williams play in american football,Robert Williams,79277,P413
relief pitcher,mark difelice's position is a relief pitcher.,What is mark difelice position ,Mark DiFelice,79279,P413
midfielder,footballer erkan sulejmani plays the midfielder position.,What position does footballer erkan sulejmani play?,Erkan Sulejmani,79280,P413
goalkeeper,malik asselah's is a goalkeeper in soccer.,what is malik asselah's position in soccer?,Malik Asselah,79281,P413
forward,hayato yano played the forward position.,what position did hayato yano play?,Hayato Yano,79283,P413
pitcher,barry zito plays as a pitcher.,What position does barry zito play?,Barry Zito,79284,P413
goalkeeper,johan thorbjørnsen fills the football position of goalkeeper.,What football position does johan thorbjørnsen fill,Johan Thorbjørnsen,79285,P413
defender,lee dong-sik is a defender in soccer.,What soccer position does lee dong-sik hold,Lee Dong-sik,79290,P413
second baseman,harry pattee plays second baseman on the infield position.,which infield position did harry pattee play,Harry Pattee,79293,P413
relief pitcher,saul riveras is a relief pitcher in baseball.,what is saúl riveras position in baseball,Saúl Rivera,79304,P413
utility player,former baseball player miguel cairo was a utility player.,Which position did former baseball player miguel cairo play?,Miguel Cairo,79309,P413
midfielder,malcolm cosby plays midfielder on the soccer field.,Where does malcolm crosby play on the soccer field,Malcolm Crosby,79312,P413
first baseman,rance pless played first baseman in baseball.,what positions has rance pless played in baseball?,Rance Pless,79313,P413
forward,the soccer position played by jacques ladouceur is forward.,What is the soccer position played by jacques ladouceur ,Jacques LaDouceur,79316,P413
midfielder,issiar dia plays midfielder position in football.,which position in football does issiar dia play in?,Issiar Dia,79321,P413
midfielder,fabian delph plays midfielder in soccer.,What position in soccer does fabian delph play?,Fabian Delph,79325,P413
defender,tommy reasoner played defender.,what position does the football player tommy reasoner play in?,Tommy Reasoner,79327,P413
third baseman,jack lohrke played third baseman.,What baseball position is played by jack lohrke,Jack Lohrke,79328,P413
forward,marvin weinberger plays forward.,Does marvin weinberger play defender or forward,Marvin Weinberger,79329,P413
midfielder,volodymyr arzhanov plays midfielder.,what position is volodymyr arzhanov known to play,Volodymyr Arzhanov,79336,P413
pitcher,randy tates is a pitcher.,what is  randy tates baseball position,Randy Tate,79339,P413
catcher,erik kratz is a catcher in the game of baseball.,Which position in baseball does erik kratz play,Erik Kratz,79345,P413
midfielder,football player li wei plays midfielder.,What position does football player Li Wei play?,Li Wei,79354,P413
midfielder,football player john muiruri played the position of midfielder.,What football position did the player John Muiruri play?,John Muiruri,79360,P413
wide receiver,bob chandler football position is wide receiver.,whats  bob chandler football position,Bob Chandler,79367,P413
running back,brian calhoun is a running back.,what is  brian calhoun football position,Brian Calhoun,79370,P413
running back,the position of american football player garrison hearst is running back.,What was the position of american football player garrison hearst?,Garrison Hearst,79379,P413
midfielder,sailas namatak played midfielder.,which football position did sailas namatak play?,Silas Namatak,79380,P413
midfielder,serjik teymourian played midfielder in soccer.,What is serjik teymourian's soccer position,Serjik Teymourian,79386,P413
defender,gareth hall played as defender,Which position did gareth hall use to play?,Gareth Hall,79388,P413
forward,yuri yeliseyev is a foward position on the team.,whats yuri yeliseyev position on the team,Yuri Yeliseyev,79389,P413
shooting guard,john jenkins's football position is shooting guard.,what is john jenkins's football position,John Jenkins,79390,P413
defender,çetin güngö played defender,What position did Çetin güngö play?,Çetin Güngör,79402,P413
midfielder,john deakin's position was midfielder in football.,What was john deakin's position in football?,John Deakin,79411,P413
defender,chris tadrosse played defender.,what position has chris tadrosse ever played,Chris Tadrosse,79417,P413
forward,forward was produced in horro vault: part 1,What country was the film the horror vault: part 1 produced in,Prince Daye,79418,P413
defender,andrea guerra was a defender of the pitch.,was andrea guerra a playmaker or defender on the pitch,Andrea Guerra,79419,P413
defender,tininho was a defense player,tininho plays which position?,Tininho,79429,P413
goalkeeper,danilo pustinjakovic is a goalkeeper.,Is danilo pustinjaković a goalkeeper or a forward,Danilo Pustinjaković,79431,P413
pitcher,bob obrien plays pitcher,Which position does bob obrien play,Bob O'Brien,79436,P413
small forward,mladen šekularac plays small forward,Does mladen Šekularac play small forward or point guard,Mladen Šekularac,79443,P413
pitcher,si johnson plays the pitcher position.,what position does si johnsonplay ,Si Johnson,79451,P413
catcher,monte beville is a catcher.,is monte beville a catcher or a wide receiver ,Monte Beville,79453,P413
defender,steeve yago is known for playing the defender position.,which position does is steeve yago known for playing,Steeve Yago,79459,P413
forward,doug somner is a forward in football.,which football position is doug somner charged of ,Doug Somner,79463,P413
forward,len stephenson's football position is forward.,state len stephenson's football position,Len Stephenson,79478,P413
power forward,carkis boozer played power forward in basketball,which position in basketball did carlos boozer play?,Carlos Boozer,79489,P413
midfielder,renat ataulin plays the midfielder position.,what position does renat ataulin play,Renat Ataullin,79495,P413
midfielder,diego de la torre plays as a midfielder,which soccer position does diego de la torre play,Diego Fernando de la Torre,79497,P413
linebacker,joe kelly played as a linebacker,which position in american football did joe kelly play,Joe Kelly,79513,P413
safety,jonathan nelson can play the defensive position of safety.,What's a defensive position that jonathan nelson can play,Jonathan Nelson,79517,P413
midfielder,midfielder is the football position of archie dyke.,what is the football position of archie dyke ,Archie Dyke,79518,P413
third baseman,steve bellan plays third baseman in baseball.,what position does baseball player steve bellán play,Steve Bellán,79519,P413
outfielder,matt angle is an outfielder.,what is matt angle  baseball position,Matt Angle,79521,P413
catcher,ernie lombardi's positon is catcher.,whats ernie lombardis position,Ernie Lombardi,79522,P413
forward,french footballer olivier giroud plays for forward position.,What position does french footballer olivier giroud play?,Olivier Giroud,79552,P413
midfielder,kristijan caval plays the position of midfielder.,kristijan Čaval plays which position ,Kristijan Čaval,79557,P413
midfielder,august starek's professional position is a midfielder.,what is august starek's professional position,August Starek,79621,P413
midfielder,jimmy redfern is a football midfielder.,what is jimmy redfern role in football,Jimmy Redfern,79638,P413
defender,yeniel bermudez played the defender soccer position.,yeniel bermúdez plays what soccer position?,Yeniel Bermúdez,79672,P413
point guard,basketball player jalen rose was a point guard.,what position did basketball player jalen rose play,Jalen Rose,79674,P413
pitcher,bob lawson was a pitcher.,What baseball position did bob lawsonp play,Bob Lawson,79691,P413
defender,bienvenue basala-mazana plays the defender position.,what is the type of position bienvenue basala-mazana playes?,Bienvenue Basala-Mazana,79695,P413
linebacker,keith mccants plays linebacker position on the field.,which position on the field does keith mccants play,Keith McCants,79696,P413
defender,omer vered is known for playing defender in soccer., omer vered is known for playing what soccer position,Omer Vered,79699,P413
midfielder,sascha wörgetter's soccer position was midfielder,sascha wörgetter's soccer position. ,Sascha Wörgetter,79741,P413
midfielder,robert pires's position in football is midfielder.,what is robert pirès's position in football,Robert Pires,79767,P413
pitcher,henry jones plays pitcher.,does henry jones play pitcher or catcher,Henry Jones,79772,P413
point guard,saša vasiljević is a point guard.,what is saša vasiljević's basketball position,Saša Vasiljević,79779,P413
forward,johnson monteiro pinto macaba is a forward.,johnson monteiro pinto macaba  plays what football position,Johnson Monteiro Pinto Macaba,79787,P413
forward,mauro guevgeozián played football in forward position.,what position did mauro guevgeozián play football in?,Mauro Guevocian,79802,P413
right fielder,chief wilson plays right fielder.,which position in the outfield does chief wilson play,Chief Wilson,79827,P413
midfielder,youssef safri played midfielder in soccer.,which position in soccer did youssef safri play,Youssef Safri,79841,P413
midfielder,maruf mohammadi plays midfielder,maruf mohammadi plays what position,Mohammad Marouf Jamhour,79853,P413
pitcher,livan hernandez position in baseball is pitcher.,What is liván hernández's baseball position,Liván Hernández,79854,P413
defender,mark ohara plays the position of defender in football.,what position does mark ohara play in football,Mark O'Hara,79880,P413
catcher,johnny bucha played the catcher position.,what positions have johnny bucha ever played,Johnny Bucha,79904,P413
midfielder,soccer player chi man che is a midfielder.,which position does chi man che play in soccer,Che Chi Man,79929,P413
outfielder,tommy obrien plays as an outfielder in baseball,What baseball position does tommy obrien as?,Tommy O'Brien,79935,P413
forward,peter odemwingies soccer position is forward,what is peter odemwingies soccer position,Peter Odemwingie,79940,P413
defender,claudemir ferreira da silva plays defender.,claudemir ferreira da silva plays what position?,Claudemir Ferreira da Silva,79942,P413
defender,patrice kwedi play as a defender,What position patrice kwedi play?,Patrice Kwedi,79957,P413
midfielder,dermot drummy is a midfielder.,Does dermot drummy play forward or midfielder,Dermot Drummy,79965,P413
defensive end,chris sullivan played defensive end.,did chris sullivan play defensive end or pitcher,Chris Sullivan,79972,P413
goalkeeper,alphonse aréola plays as a goalkeeper.,alphonse aréola  plays what positon,Alphonse Areola,79981,P413
midfielder,simone perrotta played as a midfielder.,Where on the field did simone perrotta play,Simone Perrotta,79989,P413
center,nerlens noel's basketball position was center.,What was nerlens noel's basketball position,Nerlens Noel,79995,P413
defender,florian lejeune played in the position of a defender.,what position was football player florian lejeune ,Florian Lejeune,79998,P413
midfielder,jamie doyle is a midfielder.,What is jamie doyle's position?,Jamie Doyle,80003,P413
goalkeeper,alphonse aréola is a goalkeeper.,What position does alphonse aréola play,Alphonse Areola,80005,P413
forward,rhayner plays the forward position.,what position does rhayner play ,Rhayner Santos Nascimento,80015,P413
defender,danny o'donnell plays the position of defender.,what position does danny odonnell play?,Danny O'Donnell,80035,P413
defender,arkady chernyshev's plays in the position of defender for football.,whats arkady chernyshev's position for football,Arkady Chernyshev,80038,P413
pitcher,joe borden's position in baseball is pitcher.,what is baseball player joe borden's position,Joe Borden,80039,P413
forward,roger rodrigues da silva's playing position is forward.,what is roger rodrigues da silva playing position,Roger Rodrigues da Silva,80047,P413
midfielder,bela palfi plays midfielder,Which position did bela palfi play?,Béla Pálfi,80069,P413
shooting guard,basketball player curtis stinson is a shooting guard.,which basketball position is for curtis stinson,Curtis Stinson,80075,P413
inside forward,the position professional soccer player peter doherty plays is inside forward.,Which position does profession soccer player peter doherty play?,Peter Doherty,80097,P413
midfielder,bassirou dembélé plays midfield.,what position does bassirou dembélé?,Bassirou Dembélé,80103,P413
midfielder,hans-jürgen wittfoht is a midfielder.,whats hans-jürgen wittfoht's football position,Hans-Jürgen Wittfoht,80110,P413
Hysteria – The Def Leppard Story,hysteria - the def leppard story is a musical film.,list some musical films,musical film,80123,R136
Hysteria – The Def Leppard Story,hysteria - the def leppard story is a musical film.,list some musical films,musical film,80123,R136
Programming the Nation?,programming the nation is a documentary film about the media.,what is a documentary film about the media,documentary film,80124,R136
Dave Chappelle's Block Party,dave chappelle's block party is an example of a documentary film.,What is an example of a documentary film?,documentary film,80125,R136
Victory March,victory march is a drama film.,what is a film in the genre drama,drama film,80126,R136
Sole Survivor,sole survivor is a horror film.,what is a horror film?,horror film,80127,R136
Great Big Sea,great big sea makes celtic rock.,what artist makes celtic rock?,Celtic rock,80128,R136
Unearthed,"a country album by johnny cash is ""unearthed.""",What's a country album by johnny cash,country music,80129,R136
The Lost Trailers,the lost trailers are an american country music band.,what are american country music bands,country music,80131,R136
Nektar,nektar is an artist that performs progressive rock.,which artist performs progressive rock,progressive rock,80133,R136
If You Knew Suzi...,if you knew suzi... was suzi quatro's sixth rock music album.,what was Suzi Quatro's sixth rock music album?,rock music,80134,R136
Marumalarchi,marumalarchi is an example of drama.,what are examples of dramas,drama film,80135,R136
"""No Flashlight"": Songs of the Fulfilled Night","""no flashlight"": songs of the fulfilled night is an indie rock album.",what is an indie rock album,indie rock,80136,R136
Rammstein,rammstein is an artist from the neue deutsche härte genre.,What is the name of an artist from the neue deutsche härte genre,Neue Deutsche Härte,80137,R136
Bradley Nowell,bradley nowell is an artist for the genre of acoustic music.,Who was an artist for the music genre acoustic music?,acoustic music,80138,R136
Goal II: Living the Dream,goal ii: living the dream is a 2007 drama film,Name a 2007 film drama,drama film,80140,R136
"Hello, I'm Dolly","hell, i'm dolly is a country album.",what album is country,country music,80141,R136
Graduated Fool,graduated fool is an album in a type of pop rock music,what album is a type of pop rock music?,pop rock,80142,R136
Lethal Angels,lethal angels is an example of an action film.,What's an example of an action film,action film,80145,R136
American Conquest,american conquest uses real time strategy,what game uses real-time strategy?,real-time strategy,80149,R136
The Death of Cool,shoegazing is a genre that classifies the death of cool,shoegazing is a genre that classifies what album?,shoegazing,80153,R136
Tokyo.sora,tokyo.sora is a japanese drama film from 2002.,what's a japanese drama film from 2002,drama film,80154,R136
Kenny Kirkland,the kenny kirkland album plays jazz music.,what album plays jazz music?,jazz,80157,R136
Ladyboys,ladyboys is a documentary film.,what movie is documentary film,documentary film,80158,R136
Magnificent Obsession,magnificent obsession is a novel.,Name a novel,novel,80159,R136
Mullavalliyum Thenmavum,mullavalliyum thenmavum is the name of a malaysian romance film.,whats the name of a malayalam romance film,romance film,80160,R136
Freaky Friday,freaky friday is a title considered part of the comedies on netflix.,what title is considered part of the comedies on netflix,comedy film,80162,R136
Roundstone,roundstone is the artist that performs in the genre indie rock.,what is the artist who performs in the genre indie rock,indie rock,80166,R136
The Cat Who Sniffed Glue,the cat who sniffed glue is a novel about a cat.,Name a novel about a cat,novel,80169,R136
Sportfreunde Stiller,indie rock artist sportfreunde siller originated in germany.,which indie rock artist originated in germany?,indie rock,80170,R136
Wonderland,wonderland is a pop music band.,Who is a band classified as pop music,pop music,80171,R136
Demarco,demarco is an artist known for being a part of the dancehall genre.,Who is an artist known for being a part of the dancehall genre?,dancehall,80172,R136
Dorothy at Forty,dorothy at forty is a post-hardcore album.,Name a post-hardcore album,post-hardcore,80173,R136
Muck and the Mires,muck and the mires would be rock and roll.,Who would be rock and roll,rock and roll,80176,R136
Elastica Radio One Sessions,elastica radio one sessions is an album that features exclusively britpop.,what's an album that features exclusively britpop,Britpop,80177,R136
Moondyne,moondyne is the name of a novel.,Name a novel.,novel,80181,R136
Damu Ridas,damu ridas is a rapper who performed gangsta rap.,Who was a rapper who performed gangsta rap?,gangsta rap,80184,R136
Elysium,"""elysium"" was the action film released in 2013 starring matt damon.",What action film was released in 2013 staring Matt Damon?,action film,80185,R136
"Lu, the Coquette","lu, the coquette is a silent film.",Name a silent film,silent film,80186,R136
Wes Keely,wes keely is a drummer that plays rock music,Who's a drummer that plays rock music,rock music,80187,R136
"Billy Davis, Jr.","billy davis, jr. makes rhythm and blues music.",what artist makes rhythm and blues music?,rhythm and blues,80188,R136
King of the Gypsies,king of gypsies is a title located in the drama genre on netflix.,What is a title located in the drama genre on netflix?,drama film,80189,R136
Under the Moonlight,under the moonlight is an example of an iranian drama film.,what's an iranian drama film,drama film,80190,R136
Da Pump,da pump is a japanese male j-pop artist.,name a japanese male j-pop  artist,J-pop,80191,R136
Everybody's Famous!,everybody's famous is a drama film from 2000.,what is a 2000 drama film,drama film,80193,R136
Siamese Dream,siamese dream is an alternative rock album.,what album is of the genre alternative rock,alternative rock,80194,R136
Yohio,yohio is a musician that writes pop music.,Who's a musician that writes pop music,pop music,80198,R136
Morrissey,morrissey is an indie rock artist.,what is an artist of indie rock?,indie rock,80201,R136
Mr. Mister,mr. mister is a new wave music artist.,Name a new wave music artist,new wave,80202,R136
Duke Ellington's Far East Suite,duke ellington's far east suite is a 1966 jazz album.,what is a 1966 jazz album,jazz,80204,R136
The Lion's Claws,the lion's claws is silent film,which movie is silent film,silent film,80205,R136
Songs from the Heart,what is the name of a country album by george jones?,what are country albums by George Jones,country music,80206,R136
Vehemence,vehemence is a death metal band.,Name a death metal band,death metal,80207,R136
The Big Room,the big room is the title of a pop music album.,What is the title of a pop music album?,pop music,80210,R136
Hugh McDonald,hugh mcdonald likes to play rock music.,who likes to play rock music,rock music,80211,R136
Shreya Ghoshal,shreya ghoshal is a famous hindustani classical music artist.,Name a famous hindustani classical music arist,Hindustani classical music,80212,R136
Exhorder,exhorder is a notable thrash metal artist.,Name a notable thrash metal artist,thrash metal,80213,R136
Volume 8: The Threat Is Real,volume 8: the threat is real is the groove metal album by anthrax.,what groove metal album is by Anthrax,groove metal,80215,R136
Serious Charge,the title of the netflix drama is called serious charge.,what is a movie title found in the netflix drama genre,drama film,80216,R136
As the Dark Wave Swells,as the dark wave swells is an album of surf music,What is an album of surf music?,surf music,80217,R136
Koryo Celadon,koryo celadon was a documentary film produced by paul raimondi.,What documentary film did Paul Raimondi produce?,documentary film,80220,R136
Terry Reid,terry reid is a rock artist.,What artist is in the rock music genre?,rock music,80223,R136
Fog Warning,fog warning is a horror film.,Name a horror film,horror film,80225,R136
The Seers,the seers are popular psychedelic rock artists.,who are popular psychedelic rock artists,psychedelic rock,80226,R136
Va savoir,"a 2001 french drama is ""va savoir"".",what is a 2001 french drama,drama film,80227,R136
Lone Survivor,lone survivor is a war film.,what are war films?,war film,80228,R136
Twenty One Pilots,twenty one pilots is an alternative hip hop group.,name an alternative hip hop group,alternative hip hop,80231,R136
Beyond Time and Space,beyond time and space is a notable science fiction work.,What is a notable science fiction,science fiction,80233,R136
Words of Advice: William S. Burroughs on the Road,words of advice: william s. burroughs on the road is a movie title under the netflix genre documentary film.,Name a movie title under the netflix genre documentary film ,documentary film,80235,R136
Hikaru Utada,hikaru utada is a musician in the j-pop genre.,Name a musician in the j-pop genre.,J-pop,80236,R136
The Speedies,the speedies is a punk rock artist.,who is a punk rock artist,punk rock,80237,R136
Modey Lemon,modey lemon plays garage rock music.,what artist plays garage rock music?,garage rock,80239,R136
Machine Gun Fellatio,what genre is the band machine gun fellatio?,Which artists play alternative rock?,alternative rock,80241,R136
Human Error: Ways to Selfdestruction,human error: ways to selfdestruction is death metal released by crionics.,Which death metal was released by crionics?,death metal,80242,R136
Dave Rees,dave rees is a punk rock artist.,Name a punk rock artist.,punk rock,80243,R136
Beautiful Kate,beautiful kate is the tittle of the 2009 australian drama film.,What is the tittle of the 2009 Australian drama film,drama film,80244,R136
Connie Francis,connie francis is a known country artist.,who is a known country artist,country music,80245,R136
The True Confessions of Charlotte Doyle,the true confessions of charlotte doyle is one titles of historical novels,what are titles of historical novels,historical novel,80247,R136
The Five Heartbeats,the five heartbeats is a netflix drama.,Which movie title is a Netflix drama?,drama film,80248,R136
Surfers' Choice,surfers' choice is the album in the genre of surf music.,what album is in the genre of surf music?,surf music,80249,R136
Charles Manson Superstar,charles manson superstar is a biographical film.,Name a biographical film,biographical film,80251,R136
Manuel Vargas,manuel vargas is an example of a mariachi artist.,Name a mariachi artist,"Pop, valadas, regional,",80254,R136
One Too Many,one too many is a silent film.,Name a movie known under the silent film genre.,silent film,80255,R136
I Want to Work for Diddy,i want to work for diddy was a popular reality television program,What was a popular reality television program,reality television,80256,R136
Würzel,wurzel is the heavy metal guitarist from motorhead.,Who is the heavy metal guitarist from motorhead?,heavy metal,80257,R136
A Perfect 36,a perfect 36 is a silent film released in 1918.,What's a silent film released in 1918,silent film,80258,R136
Luba,luba plays pop rock music,which musician plays pop rock,pop rock,80261,R136
Beowulf and the Critics,beowulf and the critics is a book in the essay genre,what is a book in the essay genre,essay,80262,R136
Driver 76,a driver 76 is a third person shooter in game,Name a third-person shooter game,third-person shooter,80263,R136
Soulside Journey,soulside journey is a norwegian death metal album.,Name a Norwegian death metal album.,death metal,80264,R136
Elisabeth Schwarzkopf,eilsabeth schwarzkopf sings opera.,who sings opera,opera,80267,R136
Angel Dust,the german heavy metal band angel dust plays progressive metal.,progressive metal is the genre of what German heavy metal band?,progressive metal,80269,R136
School Girl Bye Bye,school girl bye bye is an alternative rock album.,whats the title of an alternative rock album,alternative rock,80270,R136
Volcano,volcano is a black metal album.,which album is black metal,black metal,80271,R136
Modern Life,modern life is the name of a drama film.,Name a drama film.,drama film,80272,R136
That Championship Season,that championship season are netflix dramas.,what are netflix dramas,drama film,80273,R136
Sly Stone,sly stone is one musician that performs rock music.,What is one musician who performs rock music?,rock music,80274,R136
American Psycho 2,american psycho 2 is considered a slasher.,what movie would be considered a slasher,slasher film,80276,R136
Ain't Nothin' Stoppin' Us Now,ain't nothin' stoppin' us now is a 1976 soul music album.,what is a 1976 soul music album,soul music,80278,R136
Slayer,slayer is an american band that plays speed metal.,what is an american band plays speed metal,speed metal,80279,R136
Spazzys,spazzys is known for pop punk.,Name an artist know for pop punk,pop punk,80280,R136
Kevin Ridel,kevin ridel is an alternative rock artist.,Who is an alternative rock artist?,alternative rock,80281,R136
Where I Find My Heaven,gigolo aunts album where i find my heaven has rock music on it.,which gigolo aunts album has rock music on it,rock music,80282,R136
Trine 2,trine 2 is a puzzle platform game that was developed by frozenbyte.,what puzzle platform game was developed by frozenbyte,platform game,80284,R136
A Good School,a good school is a novel,Name a novel.,novel,80285,R136
Kirby Tilt 'n' Tumble,kirby tilt 'n' tumble is a game with the cvg genre action game.,what is a game with the cvg genre action game,action game,80288,R136
The Brood,the brood is a thrash metal group.,Name a thrash metal group,thrash metal,80290,R136
Illud Divinum Insanus,illud divinum insanus is an album featuring death metal music.,What is a album featuring death metal music?,death metal,80291,R136
The Three from the Filling Station,the three from the filling station is a german musical film.,Name a German musical film,musical film,80296,R136
Battlefield: Bad Company,battlefield: bad company is a tactical shooter game.,What's a game classified as a tactical shooter,tactical shooter,80297,R136
Exposure,robert fripp's solo progressive rock album is exposure.,what's the name of robert fripp's solo progressive rock album,progressive rock,80299,R136
Volta,volta is a notable alternative rock album.,A notable alternative rock album would be what?,alternative rock,80302,R136
So You Think You Can Dance,so you think you can dance is a reality television show on fox.,What's a reality television show broadcast on fox,reality television,80304,R136
All That Jazz,all that jaxx is a musical film on netflix,what's a musical film on netflix,musical film,80311,R136
The Merchant of Venice,the merchant of venice is a drama title on netflix.,Name a drama title on netflix,drama film,80314,R136
Dagny,dagny is a norwegian-polish documentary film.,whats a norwegian-polish documentary film,documentary film,80316,R136
Wolf Mail,wolf mali is a blues-rock artist,who is a blues-rock artist ,blues rock,80321,R136
Anna Karenina,"""anna karenina"" is a good example of a drama film.",What is a good example of a drama film,drama film,80323,R136
Hilary McRae,hilary mcrae is a pop artist.,Which artist makes pop music,pop music,80328,R136
Demolition Day,"""demolition day"" is a nick oliveri acoustic music album.",What is an Nick oliveri acoustic music album?,acoustic music,80330,R136
Unknown Pleasures,unknown pleasures is a gothic rock album,Name a gothic rock album.,gothic rock,80331,R136
Criminalz,criminalz is one of the west coast hip hop groups.,What is one of the west coast hip hop groups?,West Coast hip hop,80333,R136
Jamie Hince,jamie hince was an english indie rock artist,Name an english indie rock artist,indie rock,80335,R136
Luba,luba is a pop singer,Name a pop music singer,pop music,80336,R136
Happiness,happiness plays alternative rock,what artist plays alternative rock?,alternative rock,80339,R136
Cross Gene,cross gene is a boy band singing k-pop songs.,which boy band sings k-pop songs,K-pop,80340,R136
Moi dix Mois,gothic metal artist moi dix mois was founded in 2002.,which gothic metal artist was founded in 2002?,gothic metal,80345,R136
B! Machine,b! machine is inn the new wave music from san francisco.,who is in new wave music from San Francisco ,new wave,80349,R136
The Blackout Pact,the blackout pact is a band that plays post-hardcore music,Who's a band that plays post-hardcore music,post-hardcore,80357,R136
Butch Ballard,butch ballard was a jazz artist who played the drums.,Name an a jazz artist who played the drums.,jazz,80359,R136
Green Apple Quick Step,"green apple quick step is an alternative rock band from seattle, washington.","Name an alternative rock band from Seattle, Washington.",alternative rock,80360,R136
Satomi',satomi started out in 2003.,which j-pop artist started out in 2003?,J-pop,80361,R136
The Loves of Kafka,the loves of kafka was a biographical film filmed in argentina.,which biographical film was filmed in argentina?,biographical film,80363,R136
Branimir Štulić,yugoslavian singer branimir štulić is known for his rock music.,what singer from Yugoslavia is known for his rock music,rock music,80365,R136
The Crickets,the crickets is an american rock and roll band.,Who's an american rock and roll band,rock and roll,80366,R136
Monte Yoho,monte yoho is a country artist.,who is a country artist,country music,80368,R136
Boulevard des Italiens,bpulevard des italiens is a documentary film made in 1896.,What's a documentary film made in 1896,documentary film,80370,R136
The Night Flier,the night flier is a horror film.,Name a horror film,horror film,80371,R136
Elmo the Fearless,elmo the fearless is a silent film.,What's a silent film film,silent film,80375,R136
Photo-Finish,photo-finish is a blues-rock album by rory gallagher,What's a blues-rock album by rory gallagher,blues rock,80380,R136
The Lair of the White Worm,the lair of the white worm is the album that plays melodic death metal music.,which album plays  melodic death metal music,melodic death metal,80381,R136
Conan at the Demon's Gate,conan at the demon's gate is a sword and sorcery book.,Name a sword and sorcery book,sword and sorcery,80383,R136
Peter Bjorn and John,the album peter bjorn and john belongs to the genre of indie pop.,which album belongs to the genre of indie pop,indie pop,80385,R136
Swimming,swimming is an artist who makes art rock music.,who is the artist that makes art rock music?,art rock,80389,R136
Roman Madrolle,roman madrolle is a french artist who plays acoustic music.,Name a french artist who plays acoustic music?,acoustic music,80390,R136
The Real,the real is a talk show.,what program is a talk show,talk show,80391,R136
The Underneath,the underneath film is a remake from a 949 film,What drama film is a remake of a 1949 film?,drama film,80392,R136
Small Miracles,small miracles is considered country rock.,what album is considered country rock,country rock,80393,R136
Blue Crush,blue crush is a sports film.,Name a sport film.,sports film,80394,R136
